DUTYDAY,DUTY,REPORTING_STATUS,REPORTING,CP,FO,ETD_STD,ETA_STA,OPS_LEGS,ALLOWABLE_FDP,SCHEDULED_FDP,ACTUAL_FDP,PREDICTED_FDP,FDP_VARIANCE,ALLOWABLE_FT,SCHEDULED_FT,PREDICTED_FT,FT_VARIANCE,NIGHT_LANDINGS_VARIANCE,NIGHT_FDP_VARIANCE,PREDICTED_FDP_END,CRITICALITY,CRITICALITY_SCORE,FLEET,CROUTE,SECTORS,COMMENT,CREATED_AT_IST,CREATED_AT_IST_DAY
2026-04-26,20418:7-78812:5,Yet to Report,2026-04-26T14:50:00Z,20418,78812,2026-04-26T15:35:00Z,2026-04-26T22:35:00Z,4,12,7.75,7.75,9.766666666666666,2.2333333333333343,8,5.666666666666667,6.65,1.3499999999999996,-1,0.23333333333333428,2026-04-27T00:36:00Z,L4,90.41155351568032,ATR,1199,HYD-ISK-AMD-NMI-AMD,,2026-04-25T01:48:30Z,2026-04-25
2026-04-26,7845:5-,Yet to Report,2026-04-26T05:20:00Z,7845,,2026-04-25T06:35:00Z,2026-04-25T11:45:00Z,2,13,-18.166666666666668,-17.583333333333332,13,0,9,3.6666666666666665,3.6666666666666665,5.333333333333334,,,2026-04-26T18:20:00Z,L4,77.59625002788492,Airbus,NS926,CCU-RGN-CCU,,2026-04-25T01:48:30Z,2026-04-25
2026-04-26,7845:5-,Yet to Report,2026-04-26T05:20:00Z,7845,,2026-04-25T06:35:00Z,2026-04-25T11:45:00Z,2,13,-18.166666666666668,-17.583333333333332,13,0,9,3.6666666666666665,3.6666666666666665,5.333333333333334,,,2026-04-26T18:20:00Z,L4,77.59625002788492,Airbus,NS926,CCU-RGN-CCU,,2026-04-25T02:18:55Z,2026-04-25
2026-04-26,42538:6-64971:8,Yet to Report,2026-04-26T07:15:00Z,42538,64971,2026-04-26T08:15:00Z,2026-04-26T17:30:00Z,4,12,10.25,10.25,11,1,8,7.5,8.083333333333334,-0.08333333333333393,,,2026-04-26T18:15:00Z,L4,71.96477628150991,Airbus,3157,HYD-IXB-HYD-CJB-HYD,,2026-04-25T02:18:55Z,2026-04-25
2026-04-26,20418:7-78812:5,Yet to Report,2026-04-26T14:50:00Z,20418,78812,2026-04-26T15:35:00Z,2026-04-26T22:35:00Z,4,12,7.75,7.75,9.766666666666666,2.2333333333333343,8,5.666666666666667,6.65,1.3499999999999996,-1,0.23333333333333428,2026-04-27T00:36:00Z,L4,90.41155351568032,ATR,1199,HYD-ISK-AMD-NMI-AMD,,2026-04-25T02:18:55Z,2026-04-25
2026-04-26,42538:6-64971:8,Yet to Report,2026-04-26T07:15:00Z,42538,64971,2026-04-26T08:15:00Z,2026-04-26T17:30:00Z,4,12,10.25,10.25,11,1,8,7.5,8.083333333333334,-0.08333333333333393,,,2026-04-26T18:15:00Z,L4,71.96477628150991,Airbus,3157,HYD-IXB-HYD-CJB-HYD,,2026-04-25T02:04:18Z,2026-04-25
2026-04-26,20418:7-78812:5,Yet to Report,2026-04-26T14:50:00Z,20418,78812,2026-04-26T15:35:00Z,2026-04-26T22:35:00Z,4,12,7.75,7.75,9.766666666666666,2.2333333333333343,8,5.666666666666667,6.65,1.3499999999999996,-1,0.23333333333333428,2026-04-27T00:36:00Z,L4,90.41155351568032,ATR,1199,HYD-ISK-AMD-NMI-AMD,,2026-04-25T02:04:18Z,2026-04-25
2026-04-26,7845:5-,Yet to Report,2026-04-26T05:20:00Z,7845,,2026-04-25T06:35:00Z,2026-04-25T11:45:00Z,2,13,-18.166666666666668,-17.583333333333332,13,0,9,3.6666666666666665,3.6666666666666665,5.333333333333334,,,2026-04-26T18:20:00Z,L4,77.59625002788492,Airbus,NS926,CCU-RGN-CCU,,2026-04-25T02:04:18Z,2026-04-25
2026-04-26,20418:6-78812:5,Yet to Report,2026-04-26T14:50:00Z,20418,78812,2026-04-26T15:35:00Z,2026-04-26T22:45:00Z,4,12,7.75,7.916666666666667,9.916666666666666,2.083333333333334,8,5.666666666666667,6.800000000000001,1.1999999999999993,-1,0.08333333333333393,2026-04-27T00:45:00Z,L4,90.41155372786339,ATR,1199,HYD-ISK-AMD-NMI-AMD,,2026-04-26T01:06:03Z,2026-04-26
2026-04-26,20970:8-41630:9,Yet to Report,2026-04-26T13:35:00Z,20970,41630,2026-04-26T14:35:00Z,2026-04-26T22:50:00Z,4,12,9.416666666666666,9.25,10.483333333333333,1.5166666666666675,8,5.416666666666667,5.433333333333334,2.5666666666666664,-1,-0.4833333333333325,2026-04-27T00:04:00Z,L4,90.4115545208274,Airbus,3951,BLR-IXE-🛧BLR-VTZ-BLR,,2026-04-26T01:06:03Z,2026-04-26
2026-04-26,42538:6-64971:8,Yet to Report,2026-04-26T07:15:00Z,42538,64971,2026-04-26T08:15:00Z,2026-04-26T17:35:00Z,4,12,10.25,10.333333333333334,11,1,8,7.5,8.05,-0.05000000000000071,,,2026-04-26T18:15:00Z,L4,71.91739053150991,Airbus,3157,HYD-IXB-HYD-CJB-HYD,,2026-04-26T01:06:03Z,2026-04-26
2026-04-26,40204:6-85106:8,Yet to Report,2026-04-26T07:30:00Z,40204,85106,2026-04-26T08:30:00Z,2026-04-26T19:05:00Z,3,12.5,11.75,11.583333333333334,12.816666666666666,-0.31666666666666643,8,6.333333333333333,6.1499999999999995,1.8500000000000005,,,2026-04-26T20:19:00Z,L4,78.04318102365991,Airbus,4681,BLR-BOM-🛧BLR-AMD-BLR,,2026-04-26T01:06:03Z,2026-04-26
2026-04-26,-64978:7,Yet to Report,2026-04-26T10:45:00Z,,64978,2026-04-26T11:45:00Z,2026-04-26T21:15:00Z,4,12,10.583333333333334,10.5,12.266666666666667,-0.2666666666666675,8,7.083333333333333,7.433333333333333,0.5666666666666673,,,2026-04-26T23:01:00Z,L4,77.97352106108491,Airbus,3909,DEL-HYD-🛧DEL-UDR-DEL,,2026-04-26T01:06:03Z,2026-04-26
2026-04-26,7845:5-,Yet to Report,2026-04-26T05:20:00Z,7845,,2026-04-25T06:35:00Z,2026-04-25T11:45:00Z,2,13,-18.166666666666668,-17.583333333333332,13,0,9,3.6666666666666665,3.6666666666666665,5.333333333333334,,,2026-04-26T18:20:00Z,L4,77.59625002788492,Airbus,NS926,CCU-RGN-CCU,,2026-04-25T02:33:40Z,2026-04-25
2026-04-26,42538:6-64971:8,Yet to Report,2026-04-26T07:15:00Z,42538,64971,2026-04-26T08:15:00Z,2026-04-26T17:30:00Z,4,12,10.25,10.25,11,1,8,7.5,8.083333333333334,-0.08333333333333393,,,2026-04-26T18:15:00Z,L4,71.96477628150991,Airbus,3157,HYD-IXB-HYD-CJB-HYD,,2026-04-25T02:33:40Z,2026-04-25
2026-04-26,20418:7-78812:5,Yet to Report,2026-04-26T14:50:00Z,20418,78812,2026-04-26T15:35:00Z,2026-04-26T22:35:00Z,4,12,7.75,7.75,9.766666666666666,2.2333333333333343,8,5.666666666666667,6.65,1.3499999999999996,-1,0.23333333333333428,2026-04-27T00:36:00Z,L4,90.41155351568032,ATR,1199,HYD-ISK-AMD-NMI-AMD,,2026-04-25T02:33:40Z,2026-04-25
2026-04-26,40204:6-85106:8,Yet to Report,2026-04-26T07:30:00Z,40204,85106,2026-04-26T08:30:00Z,2026-04-26T19:05:00Z,3,12.5,11.75,11.583333333333334,12.816666666666666,-0.31666666666666643,8,6.333333333333333,6.1499999999999995,1.8500000000000005,,,2026-04-26T20:19:00Z,L4,78.04318102365991,Airbus,4681,BLR-BOM-🛧BLR-AMD-BLR,,2026-04-26T01:18:22Z,2026-04-26
2026-04-26,20418:6-78812:5,Yet to Report,2026-04-26T14:50:00Z,20418,78812,2026-04-26T15:35:00Z,2026-04-26T22:45:00Z,4,12,7.75,7.916666666666667,9.916666666666666,2.083333333333334,8,5.666666666666667,6.800000000000001,1.1999999999999993,-1,0.08333333333333393,2026-04-27T00:45:00Z,L4,90.41155372786339,ATR,1199,HYD-ISK-AMD-NMI-AMD,,2026-04-26T01:18:22Z,2026-04-26
2026-04-26,20970:8-41630:9,Yet to Report,2026-04-26T13:35:00Z,20970,41630,2026-04-26T14:35:00Z,2026-04-26T22:50:00Z,4,12,9.416666666666666,9.25,10.483333333333333,1.5166666666666675,8,5.416666666666667,5.433333333333334,2.5666666666666664,-1,-0.4833333333333325,2026-04-27T00:04:00Z,L4,90.4115545208274,Airbus,3951,BLR-IXE-🛧BLR-VTZ-BLR,,2026-04-26T01:18:22Z,2026-04-26
2026-04-26,42538:6-64971:8,Yet to Report,2026-04-26T07:15:00Z,42538,64971,2026-04-26T08:15:00Z,2026-04-26T17:35:00Z,4,12,10.25,10.333333333333334,11,1,8,7.5,8.05,-0.05000000000000071,,,2026-04-26T18:15:00Z,L4,71.91739053150991,Airbus,3157,HYD-IXB-HYD-CJB-HYD,,2026-04-26T01:18:22Z,2026-04-26
2026-04-26,-64978:7,Yet to Report,2026-04-26T10:45:00Z,,64978,2026-04-26T11:45:00Z,2026-04-26T21:15:00Z,4,12,10.583333333333334,10.5,12.266666666666667,-0.2666666666666675,8,7.083333333333333,7.433333333333333,0.5666666666666673,,,2026-04-26T23:01:00Z,L4,77.97352106108491,Airbus,3909,DEL-HYD-🛧DEL-UDR-DEL,,2026-04-26T01:18:22Z,2026-04-26
2026-04-26,25807:4-88526:4,Reported,2026-04-26T18:40:00Z,25807,88526,2026-04-26T19:40:00Z,2026-04-27T03:48:00Z,3,10,6.166666666666667,9.133333333333333,9.133333333333333,0.8666666666666671,8,6.416666666666667,6.483333333333333,1.5166666666666666,-1,0.8666666666666671,2026-04-27T03:48:00Z,L4,90.41155268491858,Airbus,4021,MAA-TRV-CMB-BOM,,2026-04-27T01:34:58Z,2026-04-27
2026-04-26,7845:5-,Yet to Report,2026-04-26T05:20:00Z,7845,,2026-04-25T06:35:00Z,2026-04-25T11:45:00Z,2,13,-18.166666666666668,-17.583333333333332,13,0,9,3.6666666666666665,3.6666666666666665,5.333333333333334,,,2026-04-26T18:20:00Z,L4,77.59625002788492,Airbus,NS926,CCU-RGN-CCU,,2026-04-25T03:33:53Z,2026-04-25
2026-04-26,42538:6-64971:8,Yet to Report,2026-04-26T07:15:00Z,42538,64971,2026-04-26T08:15:00Z,2026-04-26T17:30:00Z,4,12,10.25,10.25,11,1,8,7.5,8.083333333333334,-0.08333333333333393,,,2026-04-26T18:15:00Z,L4,71.96477628150991,Airbus,3157,HYD-IXB-HYD-CJB-HYD,,2026-04-25T03:33:53Z,2026-04-25
2026-04-26,20418:7-78812:5,Yet to Report,2026-04-26T14:50:00Z,20418,78812,2026-04-26T15:35:00Z,2026-04-26T22:35:00Z,4,12,7.75,7.75,9.766666666666666,2.2333333333333343,8,5.666666666666667,6.65,1.3499999999999996,-1,0.23333333333333428,2026-04-27T00:36:00Z,L4,90.41155351568032,ATR,1199,HYD-ISK-AMD-NMI-AMD,,2026-04-25T03:33:53Z,2026-04-25
2026-04-26,7845:5-,Yet to Report,2026-04-26T05:20:00Z,7845,,2026-04-25T06:35:00Z,2026-04-25T11:45:00Z,2,13,-18.166666666666668,-17.583333333333332,13,0,9,3.6666666666666665,3.6666666666666665,5.333333333333334,,,2026-04-26T18:20:00Z,L4,77.59625002788492,Airbus,NS926,CCU-RGN-CCU,,2026-04-25T03:05:37Z,2026-04-25
2026-04-26,42538:6-64971:8,Yet to Report,2026-04-26T07:15:00Z,42538,64971,2026-04-26T08:15:00Z,2026-04-26T17:30:00Z,4,12,10.25,10.25,11,1,8,7.5,8.083333333333334,-0.08333333333333393,,,2026-04-26T18:15:00Z,L4,71.96477628150991,Airbus,3157,HYD-IXB-HYD-CJB-HYD,,2026-04-25T03:05:37Z,2026-04-25
